Kurs_ID,Kurs_Adi,Kategori,Egitmen,Seviye,Fiyat_TL,Sure_Saat,Yayinlanma_Tarihi
K001,Python'a Giriş,Programlama,Ayşe Demir,Başlangıç,353.0,23,2024-01-14
K002,JavaScript Temelleri,Programlama,Eda Doğan,Orta,567.0,53,2023-11-06
K003,Algoritmaların ABC'si,Programlama,Eda Doğan,İleri,1194.0,8,2024-07-21
K004,Java OOP,Programlama,Ayşe Demir,Orta,707.0,16,2023-09-28
K005,Pandas ile Veri Analizi,Veri Bilimi,Eda Doğan,Başlangıç,349.0,17,2023-10-06
K006,SQL'e Giriş,Veri Bilimi,Selin Kaya,Orta,648.0,21,2023-09-28
K007,İstatistik Temelleri,Veri Bilimi,Ayşe Demir,İleri,1046.0,13,2024-03-09
K008,Power BI Master,Veri Bilimi,Selin Kaya,Orta,547.0,57,2023-05-14
K009,Figma Sıfırdan,Tasarım,Mehmet Yılmaz,İleri,1193.0,55,2024-03-28
K010,UI/UX Prensipleri,Tasarım,Eda Doğan,İleri,1111.0,8,2023-04-25
K011,Logo Tasarım Atölyesi,Tasarım,Mehmet Yılmaz,Başlangıç,354.0,42,2023-02-06
K012,Dijital Pazarlama 101,Pazarlama,Mehmet Yılmaz,Orta,644.0,35,2023-05-11
K013,SEO Hızlı Başlangıç,Pazarlama,Ayşe Demir,Başlangıç,297.0,30,2023-08-04
K014,Instagram Reels Stratejisi,Pazarlama,Ayşe Demir,İleri,974.0,30,2024-07-27
K015,Makine Öğrenmesine Giriş,Yapay Zeka,Mehmet Yılmaz,Orta,714.0,23,2023-06-16
K016,Derin Öğrenme Hızlı,Yapay Zeka,Ayşe Demir,Başlangıç,348.0,19,2023-12-07
K017,ChatGPT Prompt Mühendisliği,Yapay Zeka,Mehmet Yılmaz,Orta,683.0,25,2023-06-13
K018,React Sıfırdan,Web Geliştirme,Ayşe Demir,İleri,931.0,38,2023-08-16
K019,Next.js Pratik,Web Geliştirme,Burak Acar,Başlangıç,342.0,30,2023-11-09
K020,Tailwind CSS Master,Web Geliştirme,Mehmet Yılmaz,Başlangıç,289.0,33,2023-12-03
